rank,user,Q2,Q3,Q4
7679,Adityagupta6393,,2090249188,
7690,basicdev04,,2090249591,
7700,sushimachine,,2090250040,
7704,yatendraG,,2090250168,
7706,sudhanshu-on,,2090250202,
7724,akhilch1148,,2090230806,
7742,Hardik_Kothari,,2090251259,
7759,PriyanshuMishra9670,,2090241736,
7779,sahilBishnoi,,2090242017,
7806,Prajyoth2006,,2090253096,
7813,Harsh_Bhai_04,,2090253357,
7818,SagarJ_7D5,,2090253512,
7894,Sumanth_potharaju-07,,2090255644,
7897,mank_1008,,2090235678,
7916,Shauryaleet,,2090256203,
7931,mohammadmuqeem,,2090256579,
7992,mohit016,,2090248620,
7995,ashwini-chaturvedi,,2090238747,
7996,akhilsingh8113,,2090248812,
8021,pkr_bt,,2090259478,
8075,shahid_shaikh23,,2090261496,
8077,Nomrelol,,2090261558,
8078,AnishSah12,,2090261573,
8093,Aritya,,2090261970,
8120,Keshav__23,,2090242628,
8121,shauryamansaxena28,,2090252690,
8131,mmanalim,,2090252937,
8136,kausty005,,2090263447,
8150,pabloNes,,2090243515,
8168,some_data,,2090254528,
8183,Kesshar,,2090256227,
8188,adit_4015_coder,,2090236835,
8191,navedkhan,,2090257015,
8207,xEM8xwtdIo,,2090257925,
8215,Vaibhav_Y,,2090258286,
8234,sohitkumar9548,,2090259551,
8267,ginoyang,,2090261392,
8347,zshell,,2090247920,
8349,s_pravin_,,2090258672,
8408,manichaitra123,,2090255851,
8420,theyeah-11,,2090258335,
8480,mohitrai965,,2090245862,
8499,lakheraansh,2090077312,,
